cohort,N,scenario,qi_cols,mitigation,K,reps,frac_unique_mean,frac_unique_p95,frac_below_k_mean,frac_below_k_p95,min_k_mean,min_k_p95,p_unique_mean,p_unique_p95,p_below_k_mean,p_below_k_p95,n_cells_mean,n_cells_p95,linkage_p_success_mean,linkage_p_success_p95
hr,200,race,race_ethnicity,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,,
hr,200,race+job,race_ethnicity|job_level,none,5,500,0.019190000000000002,0.035,0.11535000000000001,0.16,1.018,1.0,0.019190000000000002,0.035,0.11535000000000001,0.16,21.006,23.0,,
hr,200,race+job,race_ethnicity|job_level,suppress_k,5,500,0.0,0.0,0.0,0.0,5.354,7.0,0.0,0.0,0.0,0.0,11.286,13.0,,
hr,200,race+job,race_ethnicity|job_level,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,,
hr,200,race+job+years,race_ethnicity|job_level|years_in_hr,none,5,500,0.10831,0.14,0.37829999999999997,0.465,1.0,1.0,0.10831,0.14,0.37829999999999997,0.465,56.524,62.049999999999955,,
hr,200,race+job+years,race_ethnicity|job_level|years_in_hr,suppress_k,5,500,0.0,0.0,0.0,0.0,5.058,6.0,0.0,0.0,0.0,0.0,15.524,18.0,,
hr,200,race+job+years,race_ethnicity|job_level|years_in_hr,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,,
hr,200,race+job+years+creds,race_ethnicity|job_level|years_in_hr|credential_count,none,5,500,0.33197000000000004,0.39,0.82842,0.92,1.0,1.0,0.33197000000000004,0.39,0.82842,0.92,111.03,119.0,,
hr,200,race+job+years+creds,race_ethnicity|job_level|years_in_hr|credential_count,suppress_k,5,500,0.0,0.0,0.0,0.0,5.438,5.0,0.0,0.0,0.0,0.0,6.812,10.0,,
hr,200,race+job+years+creds,race_ethnicity|job_level|years_in_hr|credential_count,analytic_uniform_heuristic,5,0,0.30998533035789777,,,,,,0.30998533035789777,,,,,,,
hr,500,race,race_ethnicity,none,5,500,0.0,0.0,0.000188,0.0,9.694,14.0,0.0,0.0,0.000188,0.0,6.0,6.0,,
hr,500,race,race_ethnicity,suppress_k,5,500,0.0,0.0,0.000188,0.0,9.694,14.0,0.0,0.0,0.000188,0.0,6.0,6.0,,
hr,500,race,race_ethnicity,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,,
hr,500,race+job,race_ethnicity|job_level,none,5,500,0.002748000000000001,0.006,0.035752,0.052,1.218,2.0,0.002748000000000001,0.006,0.035752,0.052,23.336,24.0,,
hr,500,race+job,race_ethnicity|job_level,suppress_k,5,500,0.0,0.0,0.0,0.0,5.28,7.0,0.0,0.0,0.0,0.0,17.408,20.0,,
hr,500,race+job,race_ethnicity|job_level,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,,
hr,500,race+job+years,race_ethnicity|job_level|years_in_hr,none,5,500,0.038,0.05,0.18296800000000002,0.216,1.0,1.0,0.038,0.05,0.18296800000000002,0.216,75.344,81.0,,
hr,500,race+job+years,race_ethnicity|job_level|years_in_hr,suppress_k,5,500,0.0,0.0,0.0,0.0,5.014,5.0,0.0,0.0,0.0,0.0,30.886,34.049999999999955,,
hr,500,race+job+years,race_ethnicity|job_level|years_in_hr,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,,
hr,500,race+job+years+creds,race_ethnicity|job_level|years_in_hr|credential_count,none,5,500,0.1606,0.186,0.50432,0.5600999999999999,1.0,1.0,0.1606,0.186,0.50432,0.5600999999999999,177.71,189.0,,
hr,500,race+job+years+creds,race_ethnicity|job_level|years_in_hr|credential_count,suppress_k,5,500,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,33.498,38.0,,
hr,500,race+job+years+creds,race_ethnicity|job_level|years_in_hr|credential_count,analytic_uniform_heuristic,5,0,1.0,,,,,,1.0,,,,,,,
